,<built-in function id>,areageo,identi,imageLink,title,year
760,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/779,Santa Maria de Palautordera (Vallès Oriental),RFSACE.4442,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=779&action=2&DMSCALE=39&DMWIDTH=1494&DMHEIGHT=1506,Laboratori Morató,1964-03-18
761,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/780,Sant Adrià de Besòs (Barcelonès),RFSACE.4803,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=780&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Prudencio  Argudo,1964-05-07
762,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/781,la Llagosta (Vallès Oriental),RFSACE.6383,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=781&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fundació Alberto Prunera,1965-04-22
763,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/782,Sabadell (Vallès Occidental),RFSACE.4944,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=782&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Aeroport: Avioneta  Clipper Invicta,1964-07-01
764,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/783,Sitges (Garraf),RFSACE.4722,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=783&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,"Vertical """"Las Colinas"""" E-1/4100",1964-04-26
765,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/784,Sabadell (Vallès Occidental),RFSACE.3175,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=784&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Fotoplà,1963-06-01
766,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/785,Monistrol de Montserrat (Bages),RFSACE.3831,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=785&action=2&DMSCALE=39&DMWIDTH=1483&DMHEIGHT=1506,Montserrat: Panoràmica,1963-10-04
767,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/786,Balaguer (Noguera),RFSACE.5451,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=786&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1513,Fotoplà,1964-09-17
768,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/787,Barcelona (Barcelonès),RFSACE.4782,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=787&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Moll del Carbó,1964-05-07
769,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/788,Mataró (Maresme),RFSACE.7223,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=788&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fotoplà Vilassar,1965-10-12
770,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/789,Darnius (Alt Empordà),RFSACE.7557,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=789&action=2&DMSCALE=50&DMWIDTH=1197&DMHEIGHT=1018,Vertical terreny,1965-11-22
