,<built-in function id>,imageLink,title,year
31,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1207,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1207&action=2&DMSCALE=11&DMWIDTH=4407&DMHEIGHT=3283,[Peu] Mapa d'Aparici: full 2on,1769
32,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1165,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1165&action=2&DMSCALE=11&DMWIDTH=4409&DMHEIGHT=3269,"[Peu] Mapa d'Aparici: full 3er. Segle XVIII. Mapa de Catalunya ab les vegueries y sotsvegueries al començar lo segle XVIII, (...)",1769
33,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1194,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1194&action=2&DMSCALE=11&DMWIDTH=4372&DMHEIGHT=3245,"[Peu] Mapa d'Aparici: full 4rt (...) de Joseph Aparici, reduhit a la meytat del original. Facilitat per E. González Hurtebise",1769
34,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1213,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1213&action=2&DMSCALE=15&DMWIDTH=2188&DMHEIGHT=3266,[Peu] Mapa de Catalunya fet en lo segle XVII a París per Jaillot,1696
35,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1188,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1188&action=2&DMSCALE=15&DMWIDTH=3263&DMHEIGHT=2179,"[Peu] Mapa de Catalunya y Aragó, editat en 1613 a Amsterdam per Pere Kaerius",1613
36,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1210,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1210&action=2&DMSCALE=11&DMWIDTH=3271&DMHEIGHT=4384,"[Peu] Mapa de Catalunya, de Vrints, publicat a Anvers l'any 1605; facilitat per E. Moliné (...)",1602
37,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1197,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1197&action=2&DMSCALE=15&DMWIDTH=3275&DMHEIGHT=2161,"[Peu] Mapa de Catalunya, editat en 1632 a Amsterdam per Pere Kaerius",1632
38,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1217,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1217&action=2&DMSCALE=11&DMWIDTH=4378&DMHEIGHT=3260,"[Peu] Mapa de Catalunya, editat en 1705 a París per M. de Fer",1705
39,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1212,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1212&action=2&DMSCALE=11&DMWIDTH=4382&DMHEIGHT=3278,[Peu] Mapa de Garma: full 1er,1764
40,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1172,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1172&action=2&DMSCALE=11&DMWIDTH=4369&DMHEIGHT=3264,[Peu] Mapa de Garma: full 2on,1764
41,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1178,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1178&action=2&DMSCALE=11&DMWIDTH=4380&DMHEIGHT=3255,"[Peu] Mapa de Garma: full 3er. Segle XVIII. Mapa de Catalunya, de Garma, reduhit a la (...)",1764
42,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1181,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1181&action=2&DMSCALE=11&DMWIDTH=4398&DMHEIGHT=3283,"[Peu] Mapa de Garma: full 4rt (...) meytat del séu original, facilitat per Ramón d'Alós",1764
43,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1206,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1206&action=2&DMSCALE=11&DMWIDTH=4330&DMHEIGHT=3303,"[Peu] Mapa de la Tarraconense, fet en 1586 per Arias Montano",1586
44,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1183,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1183&action=2&DMSCALE=11&DMWIDTH=4378&DMHEIGHT=3260,"[Peu] Mapa de les estacions de la xarxa òptica militar, en la regió central montanyosa de Catalunya (1845 a 1855)",1845
45,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1216,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1216&action=2&DMSCALE=11&DMWIDTH=4381&DMHEIGHT=3272,"[Peu] Mapa de les Vegueries de Catalunya fer en 1762 per Cantel y Tillemont, facilitat per Joseph Mº Marti",1694
46,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1215,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1215&action=2&DMSCALE=11&DMWIDTH=4374&DMHEIGHT=3263,"[Peu] Mapa de les Vegueries de Catalunya, editat a Partis per Julien en 1762. Facilitat per lo Sr. Colldeforns y Lladó",1762
